"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AG1","AJ1","AW1","GA1","GD1","GD2","GD3","GF1","KA1","KA2","MA1","MD1","MW1","MW2","MW3","MW4","MW5","OC1","REM","EQD"
"72565003017","1995-02-28T06:00:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","FM-12","DVX  ","V020","080,1,N,0046,1","99999,9,9,N","009000,1,N,1","-0028,1","-0028,1","10232,1","06,0000,9,1",,,"4,000",,,,,,,"08,99,1,99,9,99,9,00250,1,99,9,99,9",,,"99999,9,08387,1","5,1,200,2,+999,9",,,,,,,"SYN015 333 555 92806;","Q01+002002APC3  "
"72565003017","1995-02-28T14:22:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAOSP","DEN  ","V020","040,1,N,0036,1","00180,1,M,N","002816,1,N,1","-0100,1","-0112,1","10285,1",,,,"0,999",,,,"4,99,1,+00180,9,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10244,1,99999,9",,"45,1",,,,,,"AWY011TWR VSBY 2;","Q01+000100PRSWM2"
"72565003017","1995-02-28T15:23:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAOSP","DEN  ","V020","050,1,N,0051,1","00120,1,M,N","003219,1,N,1","-0106,1","-0112,1","10292,1",,,,"0,000",,,,"4,99,1,+00120,9,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10247,1,99999,9",,"45,1",,,,,,"AWY011SFC VSBY 3;","Q01+000100PRSWM2"
"72565003017","1995-02-28T16:00:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAO  ","DEN  ","V020","050,1,N,0041,1","00120,1,M,N","003219,1,N,1","-0106,1","-0112,1","10292,1",,,,"2,999",,,,"4,99,1,+00120,9,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10247,1,99999,9",,"45,1",,,,,,"AWY011SFC VSBY 5;","Q01+000100PRSWM2"
"72565003017","1995-02-28T16:45:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAO  ","DEN  ","V020","050,1,N,0025,1","00180,1,M,N","003219,1,N,1","-0106,1","-0112,1","10293,1",,,,"0,999",,,,"4,99,1,+00180,9,1",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10247,1,99999,9",,"00,1",,,,,,"AWY019CIG 4V8 SFC VSBY 7;",
"72565003017","1995-02-28T17:00:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAO  ","DEN  ","V020","060,1,N,0025,1","00180,1,M,N","011265,1,N,1","-0106,1","-0112,1","10297,1",,,,"2,999",,,,"4,99,1,+00180,9,1",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10247,1,99999,9",,"00,1",,,,,,"AWY008CIG 4V8;",
"72565003017","1995-02-28T18:00:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAO  ","DEN  ","V020","080,1,N,0020,1","00180,1,M,N","016093,1,N,1","-0100,1","-0112,1","10295,1","06,9999,2,9",,,"3,000",,,,"4,99,1,+00180,9,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,-0045,1","999,N,-0106,1","10247,1,99999,9","0,1,002,1,+999,9","00,1",,,,,,"AWY04250002 6000/ 10024 20013 SB39E50 PCPN 0000;",
"72565003017","1995-02-28T19:00:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAO  ","DEN  ","V020","050,1,N,0030,1","00180,1,M,N","011265,1,N,1","-0100,1","-0112,1","10290,1",,,,"1,999",,,,"4,99,1,+00180,9,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10240,1,99999,9",,"00,1",,,,,,"AWY018SB32E44 PCPN 0000;",
"72565003017","1995-02-28T20:00:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAO  ","DEN  ","V020","070,1,N,0036,1","00180,1,M,N","011265,1,N,1","-0100,1","-0112,1","10281,1",,,,"1,999",,,,"4,99,1,+00180,9,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10234,1,99999,9",,"00,1",,,,,,,
"72565003017","1995-02-28T21:00:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAO  ","DEN  ","V020","060,1,N,0030,1","00180,1,M,N","005633,1,N,1","-0095,1","-0112,1","10273,1","06,9999,2,9",,,"3,001",,,,"4,99,1,+00180,9,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10227,1,99999,9","8,1,017,1,+999,9","45,1","71,1",,,,,"AWY02758017 6000/ SB14 PCPN 0000;","Q01+000100PRSWM3"
"72565003017","1995-02-28T21:08:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAOSP","DEN  ","V020","050,1,N,0036,1","00120,1,M,N","005633,1,N,1","-0095,1","-0100,1","10275,1",,,,"0,001",,,,"4,99,1,+00120,9,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10224,1,99999,9",,"45,1","71,1",,,,,"AWY010PCPN 0000;","Q01+000100PRSWM3"
"72565003017","1995-02-28T21:18:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAOSP","DEN  ","V020","050,1,N,0036,1","00120,1,M,N","004023,1,N,1","-0095,1","-0100,1","10275,1",,,,"0,001",,,,"3,99,1,+00120,9,2","4,99,1,+00270,9,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10224,1,99999,9",,"45,1","71,1",,,,,"AWY031BKN V OVC TWR VSBY 3 PCPN 0000;","Q01+000100PRSWM3"
"72565003017","1995-02-28T21:26:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAOSP","DEN  ","V020","050,1,N,0041,1","00120,1,M,N","004828,1,N,1","-0095,1","-0106,1","10275,1",,,,"0,000",,,,"4,99,1,+00120,9,1",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10224,1,99999,9",,"45,1",,,,,,"AWY037CIG 4V9 SFC VSBY 31/2 SE19 PCPN 0000;","Q01+000100PRSWM2"
"72565003017","1995-02-28T21:35:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAOSP","DEN  ","V020","050,1,N,0046,1","00180,1,M,N","004828,1,N,1","-0095,1","-0100,1","10274,1",,,,"0,000",,,,"4,99,1,+00180,9,1",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10224,1,99999,9",,"45,1",,,,,,"AWY035CIG 4V10 SFC VSBY 4 SE19 PCPN 0000;","Q01+000100PRSWM2"
"72565003017","1995-02-28T22:00:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAO  ","DEN  ","V020","010,1,N,0025,1","00180,1,M,N","004828,1,N,1","-0095,1","-0100,1","10278,1",,,,"1,999",,,,"4,99,1,+00180,9,1",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10224,1,99999,9",,"45,1",,,,,,"AWY035CIG 4V10 TWR VSBY 3 SE19 PCPN 0000;","Q01+000100PRSWM2"
"72565003017","1995-02-28T22:08:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAOSP","DEN  ","V020","010,1,N,0030,1","00120,1,M,N","002414,1,N,1","-0095,1","-0100,1","10277,1",,,,"0,999",,,,"4,99,1,+00120,9,1",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10224,1,99999,9",,"45,1","71,1",,,,,"AWY034CIG 4V8 TWR VSBY 3 SB02 PCPN 0000;","Q01+000100PRSWM3"
"72565003017","1995-02-28T22:19:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAOSP","DEN  ","V020","020,1,N,0036,1","00120,1,M,N","004023,1,N,1","-0095,1","-0106,1","10277,1",,,,"0,999",,,,"4,99,1,+00120,9,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10224,1,99999,9",,"45,1",,,,,,"AWY029TWR VSBY 3 SB02E14 PCPN 0000;","Q01+000100PRSWM2"
"72565003017","1995-03-01T03:00:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAO  ","DEN  ","V020","360,1,N,0025,1","00180,1,M,N","004023,1,N,1","-0095,1","-0106,1","10292,1","06,9999,2,9",,,"0,000",,,,"4,99,1,+00180,9,1",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10230,1,08379,1","0,1,006,1,+999,9","45,1",,,,,,"AWY04750006 6000/ CIG 3V10 SFC VSBY 5 SE47 PCPN 0000;","Q01+999990APOSP Q02+000100PRSWM2"
"72565003017","1995-03-01T04:00:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAO  ","DEN  ","V020","010,1,N,0025,1","00180,1,M,N","004023,1,N,1","-0095,1","-0100,1","10291,1",,,,"2,999",,,,"3,99,1,+00180,9,1","4,99,1,+00270,9,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10230,1,08379,1",,"45,1",,,,,,"AWY022CIG 3V7 TWR VSBY 21/2;","Q01+999990APOSP Q02+000100PRSWM2"
"72565003017","1995-03-01T04:08:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAOSP","DEN  ","V020","010,1,N,0020,1","00120,1,M,N","004023,1,N,1","-0095,1","-0100,1","10293,1",,,,"0,999",,,,"4,99,1,+00120,9,1",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10230,1,08379,1",,"45,1",,,,,,"AWY022CIG 2V7 TWR VSBY 21/2;","Q01+999990APOSP Q02+000100PRSWM2"
"72565003017","1995-03-01T05:00:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAO  ","DEN  ","V020","360,1,N,0025,1","00060,1,M,N","004023,1,N,1","-0095,1","-0100,1","10293,1",,,,"2,999",,,,"4,99,1,+00060,9,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10230,1,08379,1",,"45,1",,,,,,"AWY032TWR VSBY 21/2 SB27E36 PCPN 0000;","Q01+999990APOSP Q02+000100PRSWM2"
"72565003017","1995-03-01T05:06:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAOSP","DEN  ","V020","360,1,N,0025,1","00060,1,M,N","004023,1,N,1","-0095,1","-0100,1","10293,1",,,,"0,999",,,,"4,99,1,+00060,9,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10230,1,08379,1",,"45,1","66,1",,,,,"AWY030TWR VSBY 21/2 ZRB05 PCPN 0000;","Q01+999990APOSP Q02+000100PRSWM3"
"72565003017","1995-03-01T05:22:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAOSP","DEN  ","V020","010,1,N,0036,1","00060,1,M,N","001609,1,N,1","-0095,1","-0100,1","10290,1",,,,"0,999",,,,"3,99,1,+00060,9,2","4,99,1,+00210,9,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10230,1,08379,1",,"45,1","66,1",,,,,"AWY037BKN V OVC SFC VSBY 2 ZRB05 PCPN 0000;","Q01+999990APOSP Q02+000100PRSWM3"
"72565003017","1995-03-01T06:00:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SY-SA","DEN  ","V020","010,1,N,0036,1","00060,1,M,N","001600,1,N,1","-0100,1","-0106,1","10290,1","06,9999,2,9",,,"0,000",,,,"3,99,1,+00060,9,9","4,99,1,+00390,9,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","240,M,-0044,1","240,N,-0106,1","10230,1,08379,1","8,1,001,1,+999,9",,,,,,,"SYN027 333 11044 21106 555 90106;AWY05158001 6000/ 10024 20013 SFC VSBY 3 ZRB05 PCPN 0000;","Q01+000100PRSWM3Q02+000003PRSWM1"
"72565003017","1995-03-01T06:17:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAOSP","DEN  ","V020","360,1,N,0025,1","00120,1,M,N","002816,1,N,1","-0100,1","-0106,1","10290,1",,,,"0,000",,,,"3,99,1,+00120,9,1","4,99,1,+00330,9,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10230,1,08379,1",,"45,1","66,1",,,,,"AWY032CIG 2V8 SFC VSBY 31/2 PCPN 0000;","Q01+999990APOSP Q02+000100PRSWM3"
"72565003017","1995-03-01T06:41:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAOSP","DEN  ","V020","020,1,N,0030,1","00120,1,M,N","004023,1,N,1","-0100,1","-0106,1","10288,1",,,,"0,000",,,,"3,99,1,+00120,9,1","4,99,1,+00330,9,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10227,1,08376,1",,"45,1","66,1",,,,,"AWY032CIG 2V9 SFC VSBY 31/2 PCPN 0000;","Q01+999990APOSP Q02+000100PRSWM3"
"72565003017","1995-03-01T07:00:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAO  ","DEN  ","V020","020,1,N,0030,1","00120,1,M,N","004023,1,N,1","-0100,1","-0106,1","10286,1",,,,"2,999",,,,"3,99,1,+00120,9,1","4,99,1,+00330,9,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10227,1,08376,1",,"45,1","66,1",,,,,"AWY032CIG 2V7 TWR VSBY 21/2 PCPN 0000;","Q01+999990APOSP Q02+000100PRSWM3"
"72565003017","1995-03-01T08:00:00","C","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAO  ","DVX  ","V020","010,5,N,0026,5","00061,5,M,N","000800,5,N,1","-0100,5","-0106,5","10284,5","01,0000,9,5",,,"2,999",,,,"4,99,5,+00061,5,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10224,1,08403,5",,"45,5","66,5",,,,,"AWY021SFC VSBY 5 PCPN 0000;","Q01+999990APOSP N01 02670JPWTH 0"
"72565003017","1995-03-01T09:00:00","C","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAO  ","DVX  ","V020","360,5,N,0021,5","00122,5,M,N","000800,5,N,1","-0100,5","-0106,5","10277,5","01,0000,9,5","06,9999,2,9",,"0,000",,,,"4,99,5,+00122,5,1",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10220,1,08400,5","6,1,008,1,+999,9","45,5",,,,,,"AWY04756008 6000/ CIG 2V7 SFC VSBY 3 ZRE27 PCPN 0000;","Q01+999990APOSP N01 07000JPWTH 0"
"72565003017","1995-03-01T09:41:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAOSP","DEN  ","V020","310,1,N,0020,1","00180,1,M,N","000805,1,N,1","-0095,1","-0106,1","10271,1",,,,"0,001",,,,"3,99,1,+00180,9,9","4,99,1,+00690,9,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10213,1,08365,1",,"45,1","71,1",,,,,"AWY029SFC VSBY 31/2 SB03 PCPN 0000;","Q01+999990APOSP "
"72565003017","1995-03-01T10:00:00","C","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAO  ","DVX  ","V020","300,5,N,0021,5","00183,5,M,N","001600,5,N,1","-0100,5","-0106,5","10269,5","01,0000,9,5",,,"2,999",,,,"3,99,5,+00183,5,1","4,99,5,+00701,5,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10210,1,08391,5",,"45,5","71,5",,,,,"AWY035CIG 5V10 SFC VSBY 2 SB03 PCPN 0000;","Q01+999990APOSP Q02+000100PRSWM3N01 04070JPWTH 0"
"72565003017","1995-03-01T10:18:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAOSP","DEN  ","V020","340,1,N,0025,1","00240,1,M,N","011265,1,N,1","-0100,1","-0112,1","10267,1",,,,"0,999",,,,"3,99,1,+00240,9,1","4,99,1,+00690,9,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10210,1,08362,1",,"00,1",,,,,,"AWY024CIG 7V11 SE11 PCPN 0000;","Q01+999990APOSP "
"72565003017","1995-03-01T10:25:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAO  ","DEN  ","V020","350,1,N,0025,1","00690,1,9,N","011265,1,N,1","-0100,1","-0112,1","10267,1",,,,"0,999",,,,"2,99,1,+00240,9,9","4,99,1,+00690,9,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10210,1,08362,1",,"00,1",,,,,,"AWY015SE11 PCPN 0000;","Q01+999990APOSP "
"72565003017","1995-03-01T10:33:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAOSP","DEN  ","V020","320,1,N,0020,1","00240,1,M,N","011265,1,N,1","-0100,1","-0112,1","10268,1",,,,"0,999",,,,"3,99,1,+00240,9,2","4,99,1,+00690,9,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10210,1,08362,1",,"00,1",,,,,,"AWY025BKN V SCT SE11 PCPN 0000;","Q01+999990APOSP "
"72565003017","1995-03-01T11:00:00","C","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAO  ","DVX  ","V020","350,5,N,0026,5","00244,5,M,N","006400,5,N,1","-0100,5","-0111,5","10268,5","01,0000,9,5",,,"2,999",,,,"3,99,5,+00244,5,1","4,99,5,+00701,5,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10210,1,08391,5",,"45,5","71,5",,,,,"AWY027CIG 7V12 SE11B45 PCPN 0000;","Q01+999990APOSP Q02+000100PRSWM3N01 04070JPWTH 0"
"72565003017","1995-03-01T11:22:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAOSP","DEN  ","V020","350,1,N,0020,1","00240,1,M,N","004023,1,N,1","-0100,1","-0112,1","10269,1",,,,"0,999",,,,"3,99,1,+00240,9,9","3,99,1,+00360,9,9","4,99,1,+01020,9,9","08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10210,1,08362,1",,"45,1","71,1",,,,,"AWY010PCPN 0000;","Q01+999990APOSP Q02+000100PRSWM3"
"72565003017","1995-03-01T12:00:00","C","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SY-SA","DVX  ","V020","320,5,N,0026,5","00244,5,M,N","003200,5,N,1","-0100,5","-0111,5","10271,5","01,0003,9,5","06,9999,2,9","24,0003,9,1","3,001",,"71,1",,"3,99,5,+00244,5,1","4,99,5,+00914,5,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","240,M,-0050,1","120,N,-0100,1","10213,1,08395,5","5,1,006,1,+999,9","45,5","71,5",,,,,"SYN033 333 11050 21100 70003 555 90112;AWY06355006 6001/ 70001 10023 20014 CIG 7V11 TWR VSBY 21/2 PCPN 0001;","Q01+000100PRSWM3N01 04070JPWTH 0"
"72565003017","1995-03-01T12:09:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAOSP","DEN  ","V020","340,1,N,0030,1","00900,1,9,N","003219,1,N,1","-0100,1","-0112,1","10272,1",,,,"0,001",,,,"2,99,1,+00240,9,9","4,99,1,+00900,9,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10213,1,08365,1",,"45,1","71,1",,,,,"AWY024TWR VSBY 21/2 PCPN 0000;","Q01+999990APOSP Q02+000100PRSWM3"
"72565003017","1995-03-01T12:43:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAOSP","DEN  ","V020","330,1,N,0020,1","00840,1,M,N","004023,1,N,1","-0100,1","-0117,1","10272,1",,,,"0,001",,,,"4,99,1,+00840,9,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10213,1,08365,1",,"45,1","71,1",,,,,"AWY024SFC VSBY 31/2 PCPN 0000;","Q01+999990APOSP Q02+000100PRSWM3"
"72565003017","1995-03-01T13:00:00","C","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAO  ","DVX  ","V020","300,5,N,0026,5","00792,5,M,N","005600,5,N,1","-0100,5","-0111,5","10273,5","01,0000,9,5",,,"1,999",,,,"2,99,5,+00244,5,9","2,99,5,+00366,5,9","4,99,5,+00792,5,9","08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10217,1,08397,5",,"45,5","71,5",,,,,"AWY010PCPN 0000;","Q01+999990APOSP Q02+000100PRSWM3N01 04070JPWTH 0"
